	en	zh
ChangeMasterPassword	Change master password…	修改主密码…
PasswordDecryptFailed	This password was saved with a different master password and cannot be shown. Leave it blank to keep it unchanged, or type a new one to replace it.	此密码是用另一个主密码保存的，无法显示。留空将保持不变，或输入新密码以替换。
StatusMasterChanged	Master password changed.	主密码已修改。
StatusMasterChangeFailed	Could not change the master password: {0}	无法修改主密码：{0}
MasterChangeUnreadablePasswords	{0} saved password(s) could not be decrypted. Fix or replace them before changing the master password.	有 {0} 个已保存密码无法解密。请先修复或替换它们，再修改主密码。
AutoUpdate	Auto-update	自动更新
CheckUpdateOnStartup	Check for updates on startup	启动时检查更新
UpdateCheckInterval	Check periodically	定时检查
IntervalNever	Never	从不
IntervalEvery6Hours	Every 6 hours	每 6 小时
IntervalDaily	Daily	每天
IntervalWeekly	Every week	每周
FontIncrease	Increase terminal font	增大终端字体
FontDecrease	Decrease terminal font	减小终端字体
ScrollToLatest	Scroll to latest	滚动到最新
ScrollToLatestHint	Jump to the bottom and keep following new output	跳到底部并继续显示最新内容
AiLoadEarlierMessages	Load earlier messages	加载更早的消息
HostKeyTitle	Unknown host key	未知主机密钥
HostKeyPrompt	The server "{0}" presented a {1} host key. Trust this host and remember its key?	服务器“{0}”提供了一个 {1} 主机密钥。是否信任此主机并记住它的密钥？
HostKeyHint	If you don't recognize this server, rejecting is safer.	如果你不认识这台服务器，拒绝更安全。
HostKeyTrust	Trust	信任
HostKeyReject	Reject	拒绝
Passphrase	Key passphrase	私钥口令
PassphraseWatermark	optional, only if the key is encrypted	可选，仅在私钥已加密时填写
AiAssistant	AI assistant	AI 助手
AiAssistantShort	AI	AI
AiSend	Send	发送
AiSteer	Steer	插入当前工作
AiSteerHint	Add this message to the assistant's current work.	将这条消息直接插入助手当前正在进行的工作。
AiSteerFailed	Could not steer the current work: {0}	无法插入当前工作：{0}
AiStop	Stop	停止
AiStopHint	Stop the assistant and cancel the running command.	停止助手并取消正在执行的命令。
AiStopped	Stopped.	已停止。
TerminalForceInterruptHint	Force interrupt the running terminal command and restore shell input.	强制中断正在运行的终端命令并恢复 Shell 输入。
TerminalReconnectHint	Reconnect this terminal with a fresh channel.	使用新通道重新连接此终端。
TerminalForceInterruptConfirmTitle	Force interrupt terminal	强制中断终端
TerminalForceInterruptConfirmPrompt	Force interrupt the running terminal command and restore shell input?	强制中断正在运行的终端命令并恢复 Shell 输入吗？
TerminalReconnectConfirmTitle	Reconnect terminal	重新连接终端
TerminalReconnectConfirmPrompt	Reconnect this terminal with a new SSH channel? Any running command will be interrupted.	使用新的 SSH 通道重新连接此终端吗？正在运行的命令将被中断。
AiNewConversation	New conversation	新对话
AiNewConversationHint	Start a new conversation with empty context (Ctrl+N).	从空上下文开始新对话 (Ctrl+N)。
AiConversationHistoryTitle	Conversation history	历史对话
AiConversationHistoryHint	Restore a previous conversation or manage deleted conversations for this connection.	恢复这个连接以前的对话，或管理已删除的对话。
AiConversationHistoryTab	History	历史记录
AiConversationTrashTab	Recycle bin	回收站
AiConversationHistoryEmpty	No saved conversations.	暂无历史对话。
AiConversationTrashEmpty	Recycle bin is empty.	回收站为空。
AiRestoreConversation	Restore	恢复
AiMoveToTrash	Move to recycle bin	移至回收站
AiRestoreFromTrash	Restore from recycle bin	从回收站恢复
AiDeletePermanently	Delete permanently	永久删除
AiDeletePermanentlyPrompt	Permanently delete "{0}"? This cannot be undone.	永久删除“{0}”吗？此操作无法撤销。
AiTrashRetentionHint	Conversations in the recycle bin are permanently deleted after 30 days.	回收站中的对话将在 30 天后永久删除。
AiConversationPermanentDeleteAt	Permanently deletes at {0}	将在 {0} 永久删除
AiConversationRestored	Conversation restored. The next message will continue its original session.	对话已恢复，下一条消息将继续原会话。
AiConversationNotReady	Session ID unavailable	会话 ID 不可用
AiConversationMessages	{0} messages	{0} 条消息
AiInputWatermark	Ask about this server…	询问关于这台服务器…
AiEmptyTitle	What can I help with?	今天想在这台服务器上做什么？
AiEmptyHint	Ask a question, investigate an issue, or describe a task to run on the connected server.	可以询问问题、排查故障，或描述一个需要在已连接服务器上完成的任务。
AiSelectionHint	The terminal selection will be sent with your message.	发送时将附带终端中选中的内容。
AiSelectionAttached	[+ terminal selection]	[+ 终端选中内容]
AiRunInTerminal	Run	执行
AiNotAvailable	Claude CLI not found. Install it (claude.ai/install) and reopen this panel.	未检测到 Claude CLI，请先安装（claude.ai/install）后重新打开此面板。
AiNotAvailableCodex	Codex CLI not found. Install it (developers.openai.com/codex/cli) and reopen this panel.	未检测到 Codex CLI，请先安装（developers.openai.com/codex/cli）后重新打开此面板。
AiNotAvailableGrok	Grok Build CLI not found. Install it (irm https://x.ai/cli/install.ps1 | iex) and reopen this panel.	未检测到 Grok Build CLI，请先安装（irm https://x.ai/cli/install.ps1 | iex）后重新打开此面板。
AiWaiting	Thinking…	思考中…
AiThinking	Thinking	思考中
AiWaitingCommand	Running…	运行中…
AiRunning	Running	运行中
AiTurnCost	{0} tokens · ${1:F4}	{0} tokens · ${1:F4}
AiTurnTokens	{0} tokens	{0} tokens
AiTurnError	The assistant hit an error.	助手执行出错。
AiSessionEnded	Session ended.	会话已结束。
AiLoginRequired	{0} login is missing or expired. Log in locally, then send again.	{0} 未登录或登录已过期。请在本机完成登录后重新发送。
AiAutoRun	Auto-run	自动执行
AiAutoRunHint	The assistant runs its own commands on the server and reads their output; only potentially destructive commands ask for confirmation.	助手自动在服务器上执行命令并读取输出，仅对可能破坏数据的命令要求确认。
AiAutoApprove	Auto-approve	自动同意
AiAutoApproveHint	Run potentially destructive commands without asking for confirmation.	对可能破坏数据的命令也不询问确认，直接执行。
AiDangerWarning	⚠ This command may destroy data. Review it before running.	⚠ 此命令可能破坏数据，请确认后再执行。
AiDangerSkip	Skip	跳过
AiDangerWaiting	Waiting for you to confirm the command…	等待确认命令…
AiDangerRan	✓ Approved and run	✓ 已确认执行
AiDangerSkipped	✗ Skipped	✗ 已跳过
AiShowOutput	Show output	显示命令输出
AiShowOutputHint	Show the executed commands and their output in this chat (they always appear in the terminal too).	在对话中显示执行的命令及其输出（它们始终也会显示在终端里）。
AiProvider	Provider	提供方
AiModel	Model	模型
AiEffort	Effort	强度
AiOptionDefault	Default	默认
AiSettingsChanged	Settings changed; applies to a new conversation.	设置已更改，将用于新对话。
AiAgentMode	Agent mode	Agent 模式
AiAgentModeHint	Hide the SSH terminal and let the assistant fill the whole tab. Commands still run on the server.	隐藏 SSH 终端面板，AI 助手占满整个页面。命令仍会在服务器上执行。
AiManageProviders	Manage custom providers…	管理自定义提供方…
AiCustomProvidersTitle	Custom AI providers	自定义 AI 提供方
AiCustomNotConfigured	This provider needs an API key and at least one model. Configure it with the gear button.	该提供方缺少 API 密钥或模型列表，请点击齿轮按钮配置。
AiProviderName	Name	名称
AiApiType	API type	API 类型
AiBaseUrl	Base URL (blank = official endpoint)	接口地址（留空使用官方地址）
AiApiKey	API key	API 密钥
AiShowApiKey	Show key	显示密钥
AiModelsLabel	Models (one per line, first is the default)	模型（每行一个，第一个为默认）
AiAddProvider	Add	添加
AiRemoveProvider	Remove	移除
AiProviderUnnamed	(unnamed)	（未命名）
FileBrowser	File browser	文件浏览器
FileBrowserShort	Files	文件
FileBrowserUp	Parent directory	上级目录
FileBrowserHome	Home directory	主目录
FileBrowserRefresh	Refresh	刷新
FileBrowserUpload	Upload files…	上传文件…
FileBrowserDownload	Download…	下载…
FileBrowserOpen	Open	打开
FileBrowserEdit	Edit (F4)	编辑 (F4)
SettingsEditorLabel	Remote editing editor	远程编辑用编辑器
SettingsEditorWatermark	blank = system default program	留空使用系统关联程序
DialogPickEditorTitle	Select editor	选择编辑器
FileBrowserEditing	Editing {0} — local saves upload automatically	正在编辑 {0} —— 本地保存后自动上传
FileBrowserOpenInTerminal	Open in terminal	在终端中打开
FileBrowserCopyPath	Copy path	复制路径
FileBrowserPermissions	Permissions…	权限…
FileBrowserPermissionsPrompt	Octal permissions (e.g. 755):	八进制权限（如 755）：
FileBrowserNewFolderPrompt	Folder name:	文件夹名称：
FileBrowserSize	Size	大小
FileBrowserModified	Modified	修改时间
FileBrowserPermissionsColumn	Permissions	权限
FileBrowserDeletePrompt	Delete {0}? This cannot be undone.	确定删除 {0} 吗？此操作不可恢复。
FileBrowserDeleteMany	{0} items	{0} 个项目
FileBrowserConnecting	Connecting…	连接中…
FileBrowserEmptyDir	Empty directory	空目录
FileBrowserTransfers	Transfers	传输
FileBrowserClearFinished	Clear finished	清除已完成
FileBrowserPickDownloadFolder	Select download folder	选择下载文件夹
FileBrowserPickUploadFiles	Select files to upload	选择要上传的文件
FileBrowserTargetTip	The file browser connects directly to this host. Servers reached by jumping inside the terminal are not accessible here.	文件浏览器直连此主机。在终端中跳转到的服务器无法在此访问。
FileBrowserTooltip	File browser — connects directly to this connection's host (does not follow jumps made inside the terminal)	文件浏览器 —— 直连连接配置中的主机（不跟随终端内的跳转）
CopyPublicKeyToServerTooltip	Copy public key to server — applies to this connection's host, not to servers jumped to inside the terminal	复制公钥到服务器 —— 作用于连接配置中的主机，不作用于终端中跳转后的服务器
TransferQueued	Queued	排队中
TransferCompleted	Completed	已完成
TransferCanceled	Canceled	已取消
TransferFailed	Failed: {0}	失败：{0}
ServerMonitor	Monitor	监控
ServerMonitorTooltip	Server monitor — live CPU, memory, network and disk stats over this SSH session	服务器监控 —— 通过当前 SSH 会话实时查看 CPU、内存、网络和磁盘状态
MonitorCpu	CPU	CPU
MonitorMemory	Mem	内存
MonitorSwap	Swap	交换
MonitorLoadAverage	Load	负载
MonitorUptime	Uptime	运行
MonitorUptimeDays	{0} days	{0} 天
MonitorLatency	Latency	延迟
MonitorProcesses	Top processes	进程排行
MonitorProcessMem	MEM	内存
MonitorProcessCpu	CPU%	CPU%
MonitorProcessCommand	Command	命令
MonitorDisks	Disks	磁盘
MonitorWaitingForConnection	Waiting for connection…	等待连接…
MonitorUnavailable	Monitor data unavailable on this server	无法获取该服务器的监控数据
MonitorRetry	Retry	重试
BatchTabTitle	Batch run	批量运行
BatchParamsHint	Check a parameter to apply one value to every server (saved to their bindings); unchecked parameters keep each server's own value.	勾选参数后，该值将统一应用到所有服务器并保存；未勾选的参数使用各服务器自己保存的值。
BatchParamPerServer	Each server uses its own saved value	各服务器使用自己保存的值
BatchParamUnifyTip	Apply this value to all servers	对所有服务器统一使用该值
BatchRunTargets	Run on {0} servers	在 {0} 台服务器上运行
BatchScriptReady	Choose a script to run on all {0} servers.	选择要在 {0} 台服务器上运行的脚本。
BatchTargetPending	Waiting	等待中
BatchTargetConnecting	Connecting…	连接中…
BatchTargetRunning	Running…	运行中…
BatchTargetSucceeded	Succeeded in {0}	成功，用时 {0}
BatchTargetFailed	Failed with exit code {0} ({1})	失败，退出码 {0}（用时 {1}）
BatchTargetSkipped	Skipped: {0}	已跳过：{0}
BatchTargetCanceled	Canceled	已取消
BatchStatusProgress	{0}/{1} finished	已完成 {0}/{1}
BatchStatusSummary	{0} succeeded, {1} failed	{0} 台成功，{1} 台失败
BatchCancel	Cancel all	全部取消
BatchOpenTerminal	Show terminal	查看终端
StatusBatchScriptRunning	Running {0} on {1} servers…	正在 {1} 台服务器上运行 {0}…
StatusBatchScriptSucceeded	{0} succeeded on all {1} servers	{0} 在全部 {1} 台服务器上运行成功
StatusBatchScriptFailed	{0} failed on {1} servers	{0} 在 {1} 台服务器上运行失败
